timestamp,frame_number,camera_center_x,camera_center_y,target_detected,target_class,target_confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,target_center_x,target_center_y,smoothed_target_x,smoothed_target_y,pixel_error_x,pixel_error_y,distance_error,current_pan,current_tilt,target_pan,target_tilt,servo_command_pan,servo_command_tilt,processing_time_ms,tracking_enabled
1757786556.3031733,36,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.959749221801758,True
1757786556.3382812,37,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.271434783935547,True
1757786556.3701575,38,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.340337753295898,True
1757786556.4070835,39,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.748748779296875,True
1757786556.5449338,40,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,7.326602935791016,True
1757786556.5573292,41,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.604267120361328,True
1757786556.5691655,42,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.587100982666016,True
1757786556.5814106,43,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.848169326782227,True
1757786556.6104631,44,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.634546279907227,True
1757786556.680787,45,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.849050521850586,True
1757786556.6944842,46,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.55419921875,True
1757786556.7104158,47,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.260229110717773,True
1757786556.7470675,48,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.762338638305664,True
1757786556.778493,49,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.259037017822266,True
1757786556.9168973,50,320,240,True,person,0.7533001899719238,405,154,456,405,430,279,430,279,110,39,116.70903992407786,0,0,11.0,-3.12,0.0,0.0,7.33637809753418,True
1757786556.9300728,51,320,240,False,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.1822662353515625,True
1757786556.9433696,52,320,240,True,person,0.6970045566558838,407,155,456,411,431,283,431,283,111,43,119.03780911962383,0,0,11.100000000000001,-3.44,0.0,0.0,6.63447380065918,True
1757786556.9569857,53,320,240,True,person,0.771016001701355,402,151,460,404,431,278,431,279,111,39,117.65202930676547,0,0,11.100000000000001,-3.12,0.0,0.0,6.698369979858398,True
1757786556.98371,54,320,240,True,person,0.7554892897605896,400,151,459,405,430,278,430,279,110,39,116.70903992407786,0,0,11.0,-3.12,0.0,0.0,6.942987442016602,True
1757786556.9932775,55,320,240,True,,0.0,0,0,0,0,0,0,430,279,110,39,116.70903992407786,0,0,0.0,0.0,2.0,-2.0,0.0,True
1757786557.01498,56,320,240,True,person,0.7529206275939941,397,150,459,408,428,279,429,279,109,39,115.76700738984316,2.0,-2.0,10.9,-3.12,0.0,0.0,6.24394416809082,True
1757786557.0464876,57,320,240,True,,0.0,0,0,0,0,0,0,429,279,109,39,115.76700738984316,2.0,-2.0,0.0,0.0,4.0,-3.12,0.0,True
1757786557.0510585,58,320,240,True,person,0.7486523985862732,394,149,457,412,425,280,428,279,108,39,114.82595525402782,4.0,-3.12,10.8,-3.12,0.0,0.0,6.309747695922852,True
1757786557.0998344,59,320,240,True,,0.0,0,0,0,0,0,0,428,279,108,39,114.82595525402782,4.0,-3.12,0.0,0.0,6.0,-3.12,0.0,True
1757786557.1520572,60,320,240,True,person,0.764523446559906,364,133,429,382,396,258,421,274,101,34,106.56922632730333,8.0,-3.12,10.100000000000001,-2.72,0.0,0.0,6.900787353515625,True
1757786557.153034,61,320,240,True,,0.0,0,0,0,0,0,0,421,274,101,34,106.56922632730333,6.0,-3.12,0.0,0.0,8.0,-3.12,0.0,True
1757786557.1646168,62,320,240,True,person,0.7172982096672058,383,149,448,411,416,280,420,275,100,35,105.94810050208545,8.0,-3.12,10.0,-2.8000000000000003,0.0,0.0,6.203413009643555,True
1757786557.1775963,63,320,240,True,person,0.7735151052474976,376,142,439,377,407,260,418,273,98,33,103.40696301506973,8.0,-3.12,9.8,-2.64,0.0,0.0,6.441593170166016,True
1757786557.1926498,64,320,240,True,person,0.7357840538024902,348,123,417,383,382,253,413,270,93,30,97.71898484941399,8.0,-3.12,9.3,-2.4,0.0,0.0,7.801294326782227,True
1757786557.2062726,65,320,240,True,,0.0,0,0,0,0,0,0,413,270,93,30,97.71898484941399,8.0,-3.12,0.0,0.0,9.3,-2.4,0.0,True
1757786557.221779,66,320,240,True,person,0.7685642838478088,336,118,402,371,369,244,407,266,87,26,90.80198235721508,9.3,-2.4,8.700000000000001,-2.08,0.0,0.0,9.032487869262695,True
1757786557.2551284,67,320,240,True,person,0.7976810932159424,321,114,392,391,356,253,398,263,78,23,81.32035415564789,9.3,-2.4,7.800000000000001,-1.84,0.0,0.0,6.280183792114258,True
1757786557.2636192,68,320,240,True,,0.0,0,0,0,0,0,0,398,263,78,23,81.32035415564789,9.3,-2.4,0.0,0.0,7.800000000000001,-1.84,0.0,True
1757786557.2884214,69,320,240,True,person,0.8236497044563293,308,113,381,394,345,254,389,261,69,21,72.12489168102785,7.800000000000001,-1.84,6.9,-1.68,0.0,0.0,7.448911666870117,True
1757786557.3208406,70,320,240,True,,0.0,0,0,0,0,0,0,389,261,69,21,72.12489168102785,7.800000000000001,-1.84,0.0,0.0,6.9,-1.68,0.0,True
1757786557.3233342,71,320,240,True,person,0.7935110330581665,294,113,375,396,334,254,379,259,59,19,61.98386886924694,6.9,-1.68,5.9,-1.52,0.0,0.0,6.592273712158203,True
1757786557.355154,72,320,240,True,person,0.8295796513557434,281,113,373,401,327,257,368,257,48,17,50.92150822589606,6.9,-1.68,0.0,0.0,0.0,0.0,6.371974945068359,True
1757786557.4922862,73,320,240,True,person,0.8290664553642273,286,129,382,422,334,275,360,258,40,18,43.86342439892262,6.9,-1.68,0.0,0.0,0.0,0.0,7.25245475769043,True
1757786557.5064225,74,320,240,True,person,0.8444181680679321,272,121,369,414,320,267,352,259,32,19,37.21558813185679,6.9,-1.68,0.0,0.0,0.0,0.0,7.731914520263672,True
1757786557.5184546,75,320,240,True,person,0.8474409580230713,281,124,377,420,329,272,345,260,25,20,32.01562118716424,6.9,-1.68,0.0,0.0,0.0,0.0,6.035327911376953,True
1757786557.5303233,76,320,240,True,person,0.8295625448226929,290,130,388,425,339,277,340,262,20,22,29.732137494637012,6.9,-1.68,0.0,0.0,0.0,0.0,5.670309066772461,True
1757786557.558516,77,320,240,True,person,0.8536848425865173,295,130,392,426,344,278,338,265,18,25,30.805843601498726,6.9,-1.68,0.0,0.0,0.0,0.0,5.774974822998047,True
